"","harga","tahun","mileage","variant","transmisi","warna","mesin","merk","model","penumpang","lokasi"
"142",9.5e+07,2012,92500,"S","Automatic","Putih",1498,"Mazda","2",5,"DKI Jakarta » Kebon Jeruk"
"143",81500000,2003,157500,"LGX","Automatic","Emas",1781,"Toyota","Kijang",8,"DKI Jakarta » Mangga Besar"
"144",3.9e+07,2006,37500,"ZL","Manual","Emas",1295,"Daihatsu","Zebra",9,"DKI Jakarta » Kalideres"
"145",1.35e+08,2007,202500,"G","Manual","Silver",2494,"Toyota","Kijang Innova",8,"Jawa Barat » Purwakarta"
"146",1.55e+08,2008,134439,"E90","Automatic","Hitam",1995,"BMW","320i",5,"Jawa Barat » Cibinong"
"147",1.65e+08,2016,77500,"E Prestige","Automatic","Silver",1497,"Honda","BR-V",7,"DKI Jakarta » Ciracas"
"148",3e+08,2018,2500,"NLR","Manual","Putih",2771,"Isuzu","Elf",2,"DKI Jakarta » Pejaten"
"149",1.4e+08,2013,84000,"TRD Sportivo","Manual","Putih",1497,"Toyota","Yaris",5,"Jawa Timur » Bubutan"
"150",8.5e+07,1999,122500,"W202 2.3 Automatic","Automatic","Hitam",2295,"Mercedes-Benz","C230",5,"DKI Jakarta » Gandaria"
"151",5.9e+08,2018,17500,"sDrive18i xLine","Automatic","Putih",1499,"BMW","X1",5,"DKI Jakarta » Fatmawati"
"152",1.3e+08,2010,86000,"V","Automatic","Abu-abu",1998,"Toyota","Kijang Innova",8,"Banten » Serua"
"153",8e+08,2010,80000,"W212","Automatic","Hitam",6208,"Mercedes-Benz","E63 AMG",5,"DKI Jakarta » Meruya"
"154",1.1e+08,2016,12500,"X","Automatic","Putih",1329,"Daihatsu","Xenia",7,"Jawa Barat » Bekasi Selatan"
"155",1.1e+08,2015,67500,"E","Automatic","Silver",1298,"Toyota","Avanza",7,"DKI Jakarta » Kedoya"
"156",1.6e+08,2013,92500,"Highway Star","Automatic","Hitam",1997,"Nissan","Serena",7,"DKI Jakarta » Kelapa Gading"
"157",213500000,2013,102500,"2.4","Automatic","Abu-abu",2354,"Honda","CR-V",5,"DKI Jakarta » Lebak Bulus"
"158",8.3e+07,2016,27500,"T-STYLE","Manual","Silver",1198,"Datsun","GO+",7,"DKI Jakarta » Kalideres"
"159",1.31e+08,2010,114500,"RS","Automatic","Abu-abu",1496,"Honda","Jazz",5,"DKI Jakarta » Joglo"
"160",2.15e+08,2015,52500,"TSI","Automatic","Coklat",1390,"Volkswagen","Tiguan",5,"DKI Jakarta » Pondok Indah"
"161",2.75e+08,2015,82500,"G","Automatic","Hitam",2494,"Toyota","Fortuner",7,"Banten » Bintaro"
"162",1.7e+08,2012,139200,"2.0 i-VTEC","Automatic","Putih",1997,"Honda","CR-V",5,"DKI Jakarta » Kalisari"
"163",2.15e+08,2016,27500,"E","Automatic","Silver",1497,"Honda","HR-V",5,"Jawa Barat » Galaxy"
"164",3.1e+08,2015,67500,"Highway Star","Automatic","Hitam",1997,"Nissan","Serena",7,"DKI Jakarta » Bintaro"
"165",5.8e+09,2014,7500,"Italia","Automatic","Kuning",4499,"Ferrari","458",2,"DKI Jakarta » Tebet"
"166",1.65e+08,2003,160000,"E53","Automatic","Hitam",2979,"BMW","X5",5,"DKI Jakarta » Bintaro"
"167",2.05e+08,2019,7500,"G","Automatic","Hitam",1496,"Toyota","Yaris",5,"DKI Jakarta » Bintaro"
"168",2.4e+08,2011,80000,"Exceed","Automatic","Hitam",2477,"Mitsubishi","Pajero Sport",7,"Jawa Tengah » Semarang Barat"
"169",3.25e+08,2015,59000,"Dakar","Automatic","Hitam",2477,"Mitsubishi","Pajero Sport",7,"Banten » Kelapa Dua"
"170",2.05e+08,2014,22500,"G","Automatic","Putih",1998,"Toyota","Kijang Innova",8,"Jawa Barat » Dago"
"171",9.8e+07,2002,93000,"E46","Automatic","Silver",1995,"BMW","318i",5,"Jawa Barat » Kota Jababeka"
"172",7.4e+07,2007,297500,"Ultimate","Manual","Hitam",1798,"Nissan","Grand Livina",7,"Jawa Barat » Harapan Indah"
"173",1.2e+08,2007,82500,"1.7","Automatic","Silver",1668,"Honda","Stream",7,"DKI Jakarta » Rawamangun"
"174",2.67e+08,2017,42000,"PX","Automatic","Putih",1998,"Mitsubishi","Outlander Sport",5,"Jawa Barat » Beji"
"175",1.85e+08,2019,2500,"G","Manual","Putih",1329,"Toyota","Avanza",7,"Jawa Tengah » Sidomukti"
"176",9.6e+07,2011,125000,"Sport","Automatic","Abu-abu",1596,"Ford","Fiesta",5,"Jawa Timur » Rungkut"
"177",1.1e+08,2013,44000,"XV","Automatic","Putih",1498,"Nissan","Evalia",7,"Banten » Pamulang"
"178",1.15e+08,2016,46000,"Satya E","Manual","Abu-abu",1198,"Honda","Brio",5,"Jawa Tengah » Tlogosari"
"179",1.25e+08,2013,57500,"GX","Manual","Abu-abu",1373,"Suzuki","Ertiga",7,"Jawa Barat » Gunung Putri"
"180",2.25e+08,2017,32505,"RS","Automatic","Silver",1497,"Honda","Jazz",5,"Jawa Barat » Jatiwarna"
"181",5.8e+07,1997,212500,"","Manual","Biru",2500,"Isuzu","Panther",7,"Jawa Tengah » Prambanan"
"182",1.5e+08,2016,97800,"RS","Automatic","Abu-abu",1496,"Honda","Mobilio",7,"DKI Jakarta » Kelapa Gading"
"183",1.65e+08,2003,62500,"E53","Automatic","Hitam",2979,"BMW","X5",5,"DKI Jakarta » Mampang Prapatan"
"184",1.35e+08,2014,67263,"Veloz","Automatic","Silver",1496,"Toyota","Avanza",7,"Bali » Jimbaran"
"185",2.05e+08,2014,46000,"V","Automatic","Abu-abu",1998,"Toyota","Kijang Innova",8,"DKI Jakarta » Rawamangun"
"186",2e+08,2010,150000,"G Luxury","Automatic","Putih",2694,"Toyota","Fortuner",7,"Lampung » Teluk Betung Barat"
"187",5.25e+08,2011,17500,"Solitaire","Automatic","Hitam",2997,"Mercedes-Benz","S300 L",5,"Jawa Timur » Darmo"
"188",1.69e+08,2013,42500,"TSI","Automatic","Hitam",1395,"Volkswagen","Golf",5,"DKI Jakarta » Pantai Indah Kapuk"
"189",1.12e+08,2016,46000,"Satya E","Manual","Hitam",1198,"Honda","Brio",5,"Jawa Barat » Pamanukan"
"190",2.55e+08,2015,57500,"T32","Automatic","Abu-abu",2488,"Nissan","X-Trail",7,"Jawa Barat » Depok"
"191",1.25e+08,2013,100000,"GX","Manual","Putih",1373,"Suzuki","Ertiga",7,"DKI Jakarta » Halim"
