"","harga","tahun","mileage","variant","transmisi","warna","mesin","merk","model","penumpang","lokasi"
"515",158500000,2013,102500,"V","Automatic","Hitam",1987,"Toyota","NAV1",7,"Jawa Barat » Cilendek"
"516",1.1e+08,2013,57500,"S","Automatic","Silver",1498,"Mazda","2",5,"Yogyakarta » Umbul Harjo"
"517",8e+07,2010,157500,"Xi","Automatic","Silver",1298,"Daihatsu","Xenia",7,"Jawa Barat » Bintara Jaya"
"518",6.7e+07,2004,124,"i-DSI","Manual","Hitam",1497,"Honda","Jazz",5,"Banten » Cilegon Indah"
"519",1.5e+08,2014,65000,"2.0 SKYACTIV A/T","Automatic","Hitam",1997,"Mazda","Biante",8,"DKI Jakarta » Cipinang"
"520",1.25e+08,2013,117500,"Ultimate","Automatic","Hitam",1498,"Nissan","Grand Livina",7,"DKI Jakarta » Tangerang"
"521",1.1e+08,2017,77500,"R","Automatic","Abu-abu",1197,"Daihatsu","Sigra",7,"Jawa Timur » Sidoarjo"
"522",3.7e+08,2014,70000,"Sport","Automatic","Hitam",1997,"BMW","320i",5,"DKI Jakarta » Bintaro"
"523",9.5e+07,2016,86000,"G","Manual","Putih",1197,"Toyota","Calya",7,"Banten » Pamulang"
"524",1.7e+08,2013,90000,"V","Automatic","Putih",1998,"Toyota","Kijang Innova",8,"Jawa Timur » Pandaan"
"525",6.5e+07,2004,151000,"i-DSI","Automatic","Silver",1497,"Honda","City",5,"Jawa Barat » Bintara"
"526",1.6e+08,2017,50300,"Hybrid ZDi","Manual","Abu-abu",1248,"Suzuki","Ertiga",7,"Sumatera Utara » Medan Selayang"
"527",7e+07,2002,207500,"LX","Manual","Kuning",1781,"Toyota","Kijang",9,"Jawa Barat » Bekasi"
"528",6.5e+08,2016,2500,"AMG","Automatic","Hitam",1991,"Mercedes-Benz","C250",5,"DKI Jakarta » Pondok Cabe"
"529",1.6e+08,2017,52500,"Hybrid ZDi","Manual","Abu-abu",1248,"Suzuki","Ertiga",7,"Sumatera Utara » Medan Selayang"
"530",1.37e+08,2018,12500,"G","Manual","Hitam",1197,"Toyota","Calya",7,"Jawa Tengah » Genuk"
"531",1.13e+08,2013,55000,"GX","Automatic","Silver",1373,"Suzuki","Ertiga",7,"Jawa Barat » Palimanan"
"532",2.47e+08,2017,25800,"E","Automatic","Abu-abu",1497,"Honda","HR-V",5,"DKI Jakarta » Kalideres"
"533",1.45e+08,2015,40000,"E","Automatic","Hitam",1496,"Honda","Mobilio",7,"Jawa Timur » Mulyorejo"
"534",9.5e+07,2002,181000,"E46","Automatic","Silver",1995,"BMW","318i",5,"DKI Jakarta » Cilandak"
"535",1.25e+08,2012,105000,"TRD Sportivo","Manual","Silver",1497,"Toyota","Yaris",5,"Jawa Barat » Pasawahan"
"536",8.5e+07,2006,152500,"1.7","Automatic","Abu-abu",1668,"Honda","Stream",7,"Jawa Barat » Bekasi"
"537",1.27e+08,2015,72500,"Veloz","Manual","Silver",1329,"Toyota","Avanza",7,"Sumatera Utara » Medan"
"538",1.08e+08,2019,12500,"STD","Manual","Hitam",1495,"Daihatsu","Gran Max",3,"Sumatera Utara » Medan Tembung"
"539",1.18e+08,2014,25000,"X","Manual","Abu-abu",1495,"Daihatsu","Luxio",8,"Jawa Timur » Gurah"
"540",69750000,2006,93000,"i-DSI","Automatic","Abu-abu",1497,"Honda","Jazz",5,"Sumatera Utara » Medan Johor"
"541",1.6e+08,2008,120267,"G","Manual","Hitam",2494,"Toyota","Kijang Innova",8,"Jawa Timur » Banyuanyar"
"542",7.7e+07,2016,100000,"M","Automatic","Merah",998,"Daihatsu","Ayla",5,"Banten » Serpong Summarecon"
"543",2.1e+08,2017,22500,"ULTIMATE","Automatic","Abu-abu",1499,"Mitsubishi","Xpander",7,"DKI Jakarta » Kebon Jeruk"
"544",1.08e+08,2018,15000,"R","Manual","Abu-abu",1197,"Daihatsu","Ayla",5,"Banten » Cikupa"
"545",7.8e+07,2009,149000,"XV","Manual","Emas",1498,"Nissan","Grand Livina",7,"Jawa Barat » Tambun"
"546",1.2e+08,2014,45000,"S","Automatic","Abu-abu",1198,"Honda","Brio",5,"DKI Jakarta » Grogol"
"547",1.35e+08,2011,92500,"C140","Automatic","Abu-abu",1998,"Chevrolet","Captiva",7,"Jawa Barat » Pancoran Mas"
"548",1.35e+08,2017,47468,"S L","Manual","Coklat",1485,"Wuling","Confero",8,"Jawa Timur » Bumiaji"
"549",6e+07,2001,153000,"EC5","Automatic","Biru",2498,"Mitsubishi","Galant",5,"Jawa Barat » Cibinong"
"550",1.05e+08,2007,147500,"JLX","Manual","Silver",1995,"Suzuki","Grand Vitara",5,"Jawa Barat » Kopo"
"551",1.85e+08,2018,9000,"GX","Automatic","Abu-abu",1462,"Suzuki","Ertiga",7,"Banten » BSD"
"552",1.4e+08,2013,57500,"G","Automatic","Hitam",1998,"Toyota","Kijang Innova",8,"DKI Jakarta » Kebayoran Lama"
"553",2.45e+08,2019,7500,"TRD Sportivo","Automatic","Putih",1496,"Toyota","Yaris",5,"DKI Jakarta » Cilandak"
"554",2.73e+08,2020,100,"ALPHA","Automatic","Hitam",1462,"Suzuki","XL7",7,"Jawa Barat » Bandung"
"555",1.6e+08,2012,97000,"G","Automatic","Silver",1998,"Toyota","Kijang Innova",8,"Yogyakarta » Maguwo"
"556",1.82e+08,2015,62500,"GT","Automatic","Merah",1496,"Mazda","2",5,"Banten » Pamulang"
"557",9.9e+07,2019,13490,"STD","Manual","Hitam",1298,"Daihatsu","Gran Max",3,"Jawa Timur » Mulyorejo"
"558",1.22e+08,2012,66298,"Highway Star Autech","Automatic","Hitam",1998,"Nissan","Serena",7,"Banten » Modernland"
"559",1.35e+08,2012,37500,"TRD Sportivo","Manual","Merah",1497,"Toyota","Yaris",5,"Jawa Barat » Ciamis"
"560",5.7e+07,2000,99000,"DX","Manual","Hijau",970,"Suzuki","Karimun",5,"Jawa Barat » Karangpawitan"
"561",1.1e+08,2015,60000,"1.2L XS","Automatic","Marun",1198,"Nissan","March",5,"Jawa Timur » Bojonegoro"
"562",2.35e+08,2019,20000,"G","Automatic","Putih",1496,"Toyota","Rush",7,"DKI Jakarta » Ciputat"
"563",1.62e+08,2013,136900,"V","Automatic","Abu-abu",1998,"Toyota","Kijang Innova",8,"DKI Jakarta » Cengkareng"
"564",2.65e+08,2004,113000,"","Automatic","Hitam",2597,"Mercedes-Benz","E240",5,"DKI Jakarta » Pondok Gede"
"565",9.6e+07,2016,76000,"TRD Sportivo","Automatic","Putih",998,"Toyota","Agya",5,"Jawa Barat » Pondok Melati"
"566",2.35e+08,2018,15200,"TRD Sportivo","Automatic","Putih",1496,"Toyota","Rush",7,"Jawa Barat » Cianjur"
"567",1.15e+08,2007,100000,"G","Automatic","Hitam",2362,"Toyota","Camry",5,"DKI Jakarta » Cengkareng"
"568",1.7e+08,2009,17500,"E90","Automatic","Hitam",1995,"BMW","320i",5,"Banten » Serang"
"569",1.69e+08,2016,58000,"E","Automatic","Hitam",1497,"Honda","BR-V",7,"DKI Jakarta » Bintaro"
"570",4.25e+08,2017,37500,"VRZ","Automatic","Putih",2393,"Toyota","Fortuner",7,"Jawa Barat » Cicendo"
"571",1.42e+08,2018,50000,"GL","Manual","Putih",1373,"Suzuki","Ertiga",7,"DKI Jakarta » Bintaro"
"572",1.18e+08,2010,124000,"LV","Manual","Silver",2499,"Isuzu","Panther",7,"DKI Jakarta » Kalideres"
"573",2.2e+08,2011,82000,"CGI","Automatic","Hitam",1796,"Mercedes-Benz","C200",5,"Jawa Barat » cibeureum"
"574",167700000,2014,172500,"TSI","Automatic","Putih",1390,"Volkswagen","Tiguan",5,"DKI Jakarta » Cilandak"
"575",137500000,2005,100000,"2.4","Automatic","Hitam",2354,"Honda","Odyssey",7,"DKI Jakarta » Duren Sawit"
"576",2.2e+08,2018,20000,"R Deluxe","Automatic","Hitam",1496,"Daihatsu","Terios",7,"Jawa Timur » Malang Kota"
"577",2.35e+08,2018,17000,"SPORT","Automatic","Hitam",1499,"Mitsubishi","Xpander",7,"Yogyakarta » Yogyakarta"
"578",2.75e+08,2015,120000,"2.4 Prestige","Automatic","Abu-abu",2354,"Honda","CR-V",5,"Jawa Barat » Cimahi"
"579",133500000,2015,70000,"Veloz","Automatic","Silver",1329,"Toyota","Avanza",7,"DKI Jakarta » Kembangan"
"580",1.15e+08,2014,114000,"G","Automatic","Putih",1298,"Toyota","Avanza",7,"Jawa Tengah » Kalijambe"
"581",1.1e+08,2011,190000,"R","Manual","Hitam",1298,"Daihatsu","Xenia",7,"Jawa Timur » Sukun"
"582",7.1e+07,2005,116000,"XLT 4x2","Automatic","Hitam",2261,"Ford","Escape",5,"Banten » BSD"
"583",3.85e+08,2016,43000,"VRZ","Automatic","Putih",2393,"Toyota","Fortuner",7,"Jawa Tengah » Martoyudan"
"584",1.55e+08,2012,97500,"G","Manual","Silver",1998,"Toyota","Kijang Innova",8,"Banten » Taman Royal"
"585",1.6e+08,2010,84000,"V","Automatic","Silver",2362,"Toyota","Camry",5,"DKI Jakarta » Kebayoran Lama"
"586",6.5e+07,1997,124000,"W202 2.0 Manual","Manual","Hitam",1998,"Mercedes-Benz","C200",5,"Jawa Barat » Harjamukti"
"587",2.07e+08,2015,38000,"E","Manual","Silver",2494,"Toyota","Kijang Innova",8,"Jawa Barat » Cikarang Barat"
"588",1.16e+08,2012,72000,"E","Automatic","Silver",1497,"Toyota","Yaris",5,"Banten » Villa Melati Mas"
"589",137500000,2019,20000,"G","Automatic","Abu-abu",1197,"Toyota","Calya",7,"Nangroe Aceh Darussalam » Banda Sakti"
"590",5.65e+08,2011,12500,"CGI","Automatic","Putih",1796,"Mercedes-Benz","SLK200",2,"Jawa Timur » Kalijudan"
"591",1e+08,2009,106000,"Cross Road","Manual","Hitam",1490,"Suzuki","SX4",5,"Jawa Barat » Geger Kalong"
"592",1.65e+08,2019,22500,"X","Automatic","Putih",1329,"Daihatsu","Xenia",7,"DKI Jakarta » Cempaka Putih"
"593",1.43e+08,2015,57500,"RS Limited Edition","Automatic","Abu-abu",1496,"Honda","Mobilio",7,"Banten » Alam Sutera"
"594",1.43e+08,2015,57500,"RS Limited Edition","Automatic","Abu-abu",1496,"Honda","Mobilio",7,"DKI Jakarta » Gajah Mada"
"595",7.8e+07,2013,101000,"D","Manual","Hitam",1298,"Daihatsu","Gran Max",9,"DKI Jakarta » Kebayoran Baru"
"596",96500000,2016,67500,"R Deluxe","Automatic","Merah",1197,"Daihatsu","Sigra",7,"Jawa Barat » Bekasi Barat"
"597",1.55e+08,2016,16000,"CUSTOM","Automatic","Putih",1495,"Daihatsu","Terios",7,"DKI Jakarta » Semper"
"598",1.8e+08,2014,46000,"E","Automatic","Abu-abu",1497,"Honda","Freed",7,"Jawa Tengah » Srondol"
"599",2.8e+07,1997,100000,"SOHC","Manual","Biru",1498,"Timor","S-515",5,"Sumatera Barat » Padang Pariaman"
"600",2.2e+08,2019,30000,"R","Automatic","Coklat",1496,"Daihatsu","Terios",7,"DKI Jakarta » Kayu Putih"
"601",1.2e+08,2014,192500,"G","Manual","Silver",1298,"Toyota","Avanza",7,"Banten » Cikupa"
"602",68500000,2015,107500,"T-Active","Manual","Silver",1198,"Datsun","GO",5,"Jawa Barat » Sukatani"
"603",1.29e+08,2011,45900,"G","Automatic","Silver",1495,"Toyota","Rush",5,"Jawa Barat » Cimanggis"
"604",8.3e+07,2014,71000,"TRD Sportivo","Manual","Silver",998,"Toyota","Agya",5,"Jawa Barat » Cikarang Timur"
"605",3e+07,1990,297500,"","Manual","Putih",1000,"Suzuki","Jimny",4,"Jawa Barat » Gunungpuyuh"
"606",2.18e+08,2018,12500,"TRD Sportivo","Automatic","Silver",1496,"Toyota","Rush",7,"Banten » Taman Royal"
"607",1.27e+08,2018,12500,"Satya E","Automatic","Hitam",1199,"Honda","Brio",5,"Jawa Barat » Bandung"
"608",8.7e+07,2018,20000,"WD","Manual","Hitam",1493,"Suzuki","Carry",3,"Lampung » Tanjung Senang"
"609",1.1e+08,2015,64122,"Satya E","Manual","Silver",1198,"Honda","Brio",5,"Jawa Barat » Cilodong"
"610",1.75e+08,2015,23000,"R","Manual","Abu-abu",1496,"Mazda","2",5,"Banten » Karawaci"
"611",1.69e+08,2013,150000,"","Manual","Merah",4009,"Toyota","Dyna",2,"Jawa Timur » Sumbermanjing Wetan"
"612",9.5e+07,2001,105000,"Elegance","Automatic","Silver",2597,"Mercedes-Benz","C240",5,"DKI Jakarta » Ciganjur"
"613",2.85e+08,2015,85000,"G","Automatic","Hitam",2494,"Toyota","Fortuner",7,"DKI Jakarta » Kembangan"
"614",1.25e+08,2019,2500,"TRD","Manual","Silver",1197,"Toyota","Agya",5,"Sumatera Utara » Medan"
"615",1.42e+08,2016,52500,"G","Manual","Silver",1329,"Toyota","Avanza",7,"Sumatera Utara » Medan Tembung"
"616",1.5e+08,2012,67000,"G","Automatic","Silver",1798,"Toyota","Corolla Altis",5,"DKI Jakarta » Pondok Indah"
"617",2.5e+08,2017,80000,"T32","Automatic","Hitam",2488,"Nissan","X-Trail",7,"Banten » BSD"
"618",1.85e+08,2016,37500,"RS Limited Edition","Automatic","Hitam",1496,"Honda","Mobilio",7,"Banten » Gading Serpong"
"619",2.05e+08,2017,32500,"V","Automatic","Abu-abu",1497,"Toyota","Sienta",7,"Jawa Timur » Mulyosari"
"620",9.5e+07,2002,240000,"LS Hi Grade","Automatic","Emas",2499,"Isuzu","Panther",7,"Jawa Barat » Cikarang Utara"
"621",2.32e+08,2012,45000,"sDrive18i","Automatic","Coklat",1995,"BMW","X1",5,"DKI Jakarta » Pegangsaan"
"622",1.2e+08,2011,150000,"XLT-D","Manual","Silver",2499,"Ford","Ranger",5,"Lampung » Sukarame"
"623",1.37e+08,2009,123000,"VTi-L","Automatic","Abu-abu",NA,"Honda","Accord",5,"Jawa Barat » Lengkong"
"624",9.3e+07,2008,110000,"Cross Over","Manual","Abu-abu",1490,"Suzuki","SX4",5,"Jawa Tengah » Semarang"
"625",1.37e+08,2014,66000,"R","Manual","Putih",1496,"Mazda","2",5,"Jawa Barat » Tambun"
"626",1.1e+08,2010,37500,"","Manual","Merah",4009,"Toyota","Dyna",2,"DKI Jakarta » Cakung"
"627",1e+08,2005,155555,"1.7","Manual","Silver",1668,"Honda","Stream",7,"DKI Jakarta » Pasar Minggu"
"628",1.65e+08,2016,25000,"V","Manual","Orange",1497,"Toyota","Sienta",7,"Jawa Tengah » Manyaran"
"629",8.5e+07,2015,37000,"GL Wagon R","Automatic","Merah",998,"Suzuki","Karimun Wagon R",5,"DKI Jakarta » Kemayoran"
"630",81500000,2007,119000,"VTEC","Automatic","Silver",1497,"Honda","Jazz",5,"DKI Jakarta » Lenteng Agung"
"631",1.18e+08,2017,38000,"Satya E","Manual","Abu-abu",1199,"Honda","Brio",5,"DKI Jakarta » Dewi Sartika"
"632",3.69e+08,2016,87500,"VRZ","Automatic","Hitam",2393,"Toyota","Fortuner",7,"DKI Jakarta » Cilandak"
"633",7.8e+07,2007,197500,"G","Manual","Silver",1298,"Toyota","Avanza",7,"Banten » Pagedangan"
"634",3.5e+08,2019,12500,"Prestige","Automatic","Abu-abu",1799,"Honda","HR-V",5,"Jawa Barat » Harapan Indah"
"635",1.2e+08,2015,52500,"E","Automatic","Putih",1198,"Honda","Brio",5,"Banten » Bintaro"
"636",6.85e+08,2012,23000,"AMG","Automatic","Hitam",3498,"Mercedes-Benz","CLS350",4,"DKI Jakarta » Kalimalang"
"637",1.19e+08,2007,220000,"V","Automatic","Silver",1998,"Toyota","Kijang Innova",8,"Yogyakarta » Bantul"
"638",6e+07,2000,145000,"","Automatic","Hitam",1800,"Toyota","Corolla",5,"Jawa Barat » Pondok Ungu"
"639",4.6e+07,2000,22500,"DX","Manual","Biru",970,"Suzuki","Karimun",5,"Jawa Barat » Ciomas"
"640",7e+07,2005,142500,"SE Option","Manual","Abu-abu",2665,"KIA","Pregio",12,"Jawa Barat » Soreang"
"641",6.65e+08,2014,27500,"F22","Automatic","Putih",2979,"BMW","M235i",4,"DKI Jakarta » Kembangan"
"642",4.1e+08,2018,37500,"VRZ","Automatic","Silver",2393,"Toyota","Fortuner",7,"DKI Jakarta » Cibubur"
"643",1.55e+08,2018,22500,"E","Automatic","Hitam",1329,"Toyota","Avanza",7,"DKI Jakarta » Tebet"
"644",1.4e+08,2010,3500,"GLS","Manual","Hitam",2477,"Mitsubishi","Strada Triton",5,"Jawa Barat » Cimahi"
"645",1.3e+08,1993,36385,"","Manual","Biru",1596,"Honda","Civic",5,"DKI Jakarta » Halim"
"646",2.35e+08,2010,145000,"CGI","Automatic","Hitam",1796,"Mercedes-Benz","E200",5,"DKI Jakarta » Cengkareng"
"647",1.29e+08,2009,125000,"1.5","Automatic","Silver",1497,"Honda","Freed",7,"Jawa Tengah » Haryono"
"648",7.28e+08,2016,22500,"XV60","Automatic","Putih",2494,"Lexus","ES300h",5,"Jawa Timur » Citraland Citra Raya"
"649",1.75e+08,2018,28000,"L Lux","Automatic","Putih",1798,"Wuling","Cortez",7,"Jawa Barat » Cicendo"
"650",5.87e+08,2015,12500,"Luxury","Automatic","Putih",1997,"BMW","528i",5,"Jawa Timur » Darmo"
"651",2.15e+08,2018,56000,"ULTIMATE","Automatic","Putih",1499,"Mitsubishi","Xpander",7,"DKI Jakarta » Cengkareng"
"652",9e+07,2007,190000,"Ultimate","Manual","Orange",1798,"Nissan","Grand Livina",7,"Banten » Tangerang Kota"
"653",7.58e+08,2017,2500,"xDrive20i xLine","Automatic","Putih",1997,"BMW","X3",5,"Jawa Timur » Sukomanunggal"
"654",1.27e+08,2013,42500,"G","Automatic","Silver",1495,"Toyota","Rush",5,"Banten » BSD"
"655",8.6e+07,2016,97500,"G","Manual","Silver",998,"Toyota","Agya",5,"Banten » BSD"
"656",9.5e+07,2017,7500,"E","Manual","Merah",1197,"Toyota","Calya",7,"Banten » BSD"
"657",1.12e+08,2018,32500,"G","Automatic","Silver",1197,"Toyota","Calya",7,"Banten » BSD"
"658",1.16e+08,2016,80000,"E","Automatic","Silver",1329,"Toyota","Avanza",7,"DKI Jakarta » Jatinegara"
"659",1.5e+08,2015,78000,"R","Manual","Marun",1495,"Daihatsu","Terios",7,"DKI Jakarta » Meruya"
"660",1.85e+08,2012,118209,"E","Manual","Hitam",2494,"Toyota","Hilux",5,"Jawa Barat » Bogor Barat"
"661",1e+08,2013,23000,"LTZ","Manual","Hitam",1485,"Chevrolet","Spin",7,"Jawa Barat » Ujungberung"
"662",2.1e+08,2013,75000,"XLS","Manual","Putih",2198,"Ford","Ranger",5,"DKI Jakarta » Jatinegara"
"663",4.45e+08,2018,17500,"Exceed","Automatic","Putih",2477,"Mitsubishi","Pajero Sport",7,"DKI Jakarta » Tebet"
"664",1.4e+08,2019,7179,"GX","Manual","Abu-abu",1197,"Suzuki","Ignis",5,"Jawa Barat » Ujungberung"
"665",3.3e+08,2016,62500,"Prestige Special Edition","Automatic","Putih",2354,"Honda","CR-V",5,"Jawa Barat » Bandung Timur"
"666",6.5e+07,2011,78000,"Estilo","Manual","Merah",996,"Suzuki","Karimun",5,"Jawa Barat » Banjaran"
"667",42900000,1997,297500,"2.3","Manual","Merah",2300,"Isuzu","Panther",9,"Jawa Tengah » Banjarnegara"
"668",1.299e+09,2011,57500,"TDV6","Automatic","Hitam",2993,"Land Rover","Discovery 4",7,"DKI Jakarta » Permata Hijau"
"669",2.1e+08,2017,37000,"RS","Automatic","Hitam",1497,"Honda","Jazz",5,"DKI Jakarta » Kelapa Gading"
"670",2.35e+08,2009,60000,"Sport","Automatic","Hitam",1308,"Mazda","RX-8",4,"DKI Jakarta » Kapten Tendean"
"671",8.3e+07,2006,180000,"VTEC","Automatic","Hitam",1497,"Honda","Jazz",5,"DKI Jakarta » Cipinang"
"672",1.55e+08,2007,105000,"2.4","Automatic","Ungu",2354,"Honda","Odyssey",7,"Jawa Timur » Tenggilis Mejoyo"
"673",1.65e+08,2017,12500,"Comfort","Manual","Putih",1798,"DFSK","Glory 580",7,"Banten » BSD"
"674",8.95e+08,2019,1400,"Sport","Automatic","Biru",1998,"BMW","320i",5,"Banten » Serang"
"675",8.8e+07,2003,52500,"GX","Manual","Abu-abu",970,"Suzuki","Karimun",5,"DKI Jakarta » Tanjung Duren"
"676",8.9e+07,2014,27500,"TRD Sportivo","Manual","Hitam",998,"Toyota","Agya",5,"Banten » Cipocok Jaya"
"677",1.2e+08,2001,80000,"Limited","Automatic","Hitam",4701,"Jeep","Grand Cherokee",5,"Jawa Barat » Lengkong"
"678",1.4e+08,2012,187500,"GL","Manual","Silver",1373,"Suzuki","Ertiga",7,"Jawa Timur » Paiton"
"679",2e+08,2003,39735,"","Automatic","Silver",1496,"Toyota","Will VS",5,"DKI Jakarta » Kalideres"
"680",2.49e+08,2020,1500,"TRD Sportivo","Automatic","Kuning",1496,"Toyota","Yaris",5,"Jawa Tengah » Gebog"
"681",8.7e+07,2013,52500,"D FMC","Manual","Putih",1298,"Daihatsu","Sirion",5,"Jawa Barat » Cimanggis"
"682",9.7e+07,2012,182500,"X","Manual","Hitam",1298,"Daihatsu","Xenia",7,"Jawa Barat » Cimanggis"
"683",1.5e+08,2012,115000,"Elegance","Automatic","Abu-abu",2359,"Hyundai","H-1",12,"DKI Jakarta » Gajah Mada"
"684",6e+07,2000,112032,"GLS","Manual","Biru",2477,"Mitsubishi","Kuda",7,"Banten » Citra Raya"
"685",1.2e+08,2016,60000,"M","Manual","Abu-abu",989,"Daihatsu","Xenia",7,"Banten » Kelapa Dua"
"686",1.45e+08,2018,30000,"GX","Automatic","Abu-abu",1197,"Suzuki","Ignis",5,"Jawa Tengah » Anggrek"
"687",3.16e+08,2016,88000,"Q","Automatic","Coklat",2393,"Toyota","Kijang Innova",7,"DKI Jakarta » Condet"
"688",9.8e+07,2014,46000,"M DLX","Manual","Hitam",989,"Daihatsu","Xenia",7,"DKI Jakarta » Pesanggarahan"
"689",4.4e+08,2017,42500,"Dakar Ultimate","Automatic","Abu-abu",2442,"Mitsubishi","Pajero Sport",7,"DKI Jakarta » Matraman"
"690",1.15e+08,2009,82000,"GE","Manual","Silver",1496,"Honda","Jazz",5,"Jawa Tengah » Pemalang"
"691",1.25e+08,2014,180,"E","Manual","Hitam",1298,"Toyota","Avanza",7,"Jawa Barat » Banyusari"
"692",6.5e+07,2000,152500,"","Automatic","Hitam",1600,"Honda","Civic",5,"DKI Jakarta » Ciracas"
"693",4.2e+08,2011,112500,"Executive","Automatic","Hitam",2497,"BMW","523i",5,"Jawa Barat » Bogor Kota"
"694",1.9e+08,2018,8000,"E","Manual","Putih",1496,"Honda","Mobilio",7,"Jawa Barat » Sawangan"
"695",4e+07,2001,347000,"GLi","Manual","Biru",1498,"Toyota","Soluna",5,"Jawa Barat » Cipedes"
"696",5.8e+07,2002,132500,"V","Automatic","Silver",2995,"Toyota","Camry",5,"Banten » BSD City"
"697",2.18e+08,2018,17500,"G","Automatic","Hitam",1496,"Toyota","Rush",7,"Banten » Bintaro"
"698",1.4e+08,2017,72500,"S","Manual","Putih",1496,"Honda","Mobilio",7,"Jawa Barat » Karawang"
"699",1.26e+08,2019,17500,"G","Manual","Silver",1197,"Toyota","Calya",7,"Jawa Barat » Bekasi"
"700",4.4e+07,1996,218000,"VTi","Manual","Hitam",1493,"Honda","City",5,"Jawa Barat » Kota Jababeka"
"701",6.2e+07,1996,207500,"","Manual","Silver",1596,"Honda","Civic",5,"Jawa Barat » Bojonggede"
"702",1.32e+08,2014,107500,"G","Manual","Silver",1495,"Toyota","Rush",5,"DKI Jakarta » Cipayung"
"703",76500000,2003,250000,"W203","Automatic","Hitam",1998,"Mercedes-Benz","C180",5,"Jawa Barat » Tarumajaya"
"704",85500000,2014,70000,"G","Automatic","Putih",998,"Toyota","Agya",5,"DKI Jakarta » Lenteng Agung"
"705",2.29e+08,2018,20000,"RS","Manual","Merah",1497,"Honda","Jazz",5,"Jawa Timur » Citraland Citra Raya"
"706",1.15e+08,2009,175000,"E","Manual","Silver",1998,"Toyota","Kijang Innova",8,"Banten » Pamulang"
"707",1.15e+08,2004,67500,"","Automatic","Biru",1995,"BMW","318i",5,"DKI Jakarta » Cibubur"
"708",1.3e+08,2018,40000,"Satya E","Manual","Abu-abu",1199,"Honda","Brio",5,"Jawa Barat » Sumber"
"709",1.14e+08,2012,76000,"S","Automatic","Putih",1498,"Mazda","2",5,"Jawa Barat » Pancoran Mas"
"710",8.9e+07,2016,110000,"X","Automatic","Silver",998,"Daihatsu","Ayla",5,"Jawa Timur » Surabaya"
"711",4.5e+08,2011,42000,"S","Automatic","Putih",1598,"MINI","Cooper",4,"Jawa Tengah » Solo"
"712",1.3e+08,2017,60000,"G","Manual","Putih",1197,"Toyota","Calya",7,"Sumatera Utara » Medan Johor"
"713",1.15e+08,2012,117500,"G","Automatic","Abu-abu",1497,"Toyota","Vios",5,"Banten » Cipocok Jaya"
"714",1.8e+08,2011,145000,"V","Automatic","Hitam",2494,"Toyota","Kijang Innova",8,"Jawa Barat » Lippo Cikarang"
"715",8.6e+07,2012,80000,"SV","Manual","Silver",1498,"Nissan","Evalia",7,"Sumatera Selatan » Sako"
"716",5.8e+07,1993,140000,"","Manual","Biru",1596,"Honda","Civic",5,"Jawa Barat » Jatiwarna"
"717",7e+07,2001,170500,"GLS","Manual","Silver",2477,"Mitsubishi","Kuda",7,"Jawa Timur » Wonokromo"
"718",5e+07,2017,55629,"R","Manual","Abu-abu",1197,"Daihatsu","Sigra",7,"Jawa Tengah » Muntilan"
"719",8.5e+07,2003,82000,"VTi-L","Automatic","Biru",NA,"Honda","Accord",5,"DKI Jakarta » Rempoa"
"720",2.15e+08,2013,137500,"2","Manual","Hitam",1997,"Honda","CR-V",5,"Banten » BSD City"
"721",1.38e+08,2008,37500,"B170","Automatic","Hitam",1699,"Mercedes-Benz","B170",5,"DKI Jakarta » Pejaten"
"722",9e+07,2015,60000,"G","Automatic","Abu-abu",998,"Toyota","Agya",5,"Banten » Gading Serpong"
"723",3.3e+08,2015,72500,"G TRD","Automatic","Hitam",2494,"Toyota","Fortuner",7,"Jawa Timur » Surabaya"
"724",1.2e+08,2015,80000,"X STD","Manual","Hitam",1298,"Daihatsu","Xenia",7,"Jawa Barat » Serang Cibarusah"
"725",1.45e+08,2015,44000,"G","Automatic","Merah",1497,"Toyota","Yaris",5,"Banten » Karang Tengah"
"726",1.2e+08,2015,72666,"E","Manual","Silver",1298,"Toyota","Avanza",7,"DKI Jakarta » Makasar"
"727",8e+07,2014,100000,"","Manual","Abu-abu",1498,"Nissan","Almera",5,"Yogyakarta » Banguntapan"
"728",1.16e+08,2013,80000,"E","Manual","Silver",1497,"Toyota","Yaris",5,"Jawa Barat » Jaka Sampurna"
"729",1e+08,2003,7000,"Royal Saloon","Automatic","Hitam",2997,"Toyota","Crown",5,"Jawa Timur » Jombang"
"730",5.5e+08,2008,58000,"","Automatic","Hitam",3598,"Porsche","Cayenne",5,"Jawa Tengah » Boyolali"
"731",1.29e+08,2010,277500,"GLS","Manual","Silver",2477,"Mitsubishi","Strada Triton",5,"Sumatera Selatan » Prabumulih Timur"
"732",1.23e+08,2011,72800,"S","Automatic","Silver",1495,"Toyota","Rush",5,"DKI Jakarta » Condet"
"733",3.15e+08,2013,62500,"Sport","Automatic","Coklat",1997,"BMW","320i",5,"DKI Jakarta » Guntur"
"734",8.5e+07,2008,104000,"M","Manual","Silver",1298,"Daihatsu","Sirion",5,"Jawa Tengah » Solo"
"735",4.6e+07,1998,297500,"Krista 1.8","Manual","Hijau",1781,"Toyota","Kijang",7,"Banten » Ciputat"
"736",1.55e+08,2013,87500,"G","Manual","Hitam",1998,"Toyota","Kijang Innova",8,"Jawa Barat » Beji"
